entropy,ngram,alignments
0.0,Co,{'Ko': 365}
0.0,Dé,{'De': 233}
0.0,Ré,{'Re': 112}
0.0,ctio,{'ksio': 79}
0.0,$ré,{'$re': 62}
0.0,tte$,{'t$': 55}
0.0,Mé,{'Me': 49}
0.0,Cou,{'Kou': 48}
0.0,Pré,{'Pre': 45}
0.0,essi,{'esi': 44}
0.0,pen,{'pan': 43}
0.0,Cons,{'Kons': 43}
0.0,ffi,{'fi': 41}
0.0,sme,{'sm': 40}
0.0,éci,{'esi': 38}
0.0,ice$,{'is$': 38}
0.0,mpr,{'npr': 36}
0.0,Cont,{'Kont': 35}
0.0,isme,{'ism': 34}
0.0,eurs,{'er': 33}
0.0,icati,{'ikasi': 33}
0.0,ppr,{'pr': 31}
0.0,ult,{'ilt': 31}
0.0,Dés,{'Dez': 30}
0.0,gue$,{'g$': 30}
0.0,esse$,{'es$': 30}
0.0,isati,{'izasi': 30}
0.0,ées,{'e': 29}
0.0,cont,{'kont': 29}
0.0,rité,{'rite': 29}
0.0,Mu,{'Mi': 28}
0.0,nner$,{'ne$': 28}
0.0,Aut,{'Ot': 26}
0.0,sseme,{'sma': 26}
0.0,Él,{'El': 25}
0.0,$éc,{'$ek': 25}
0.0,nter$,{'nte$': 25}
0.0,$u,{'$i': 24}
0.0,Pé,{'Pe': 24}
0.0,Ti,{'ti': 24}
0.0,Dém,{'Dem': 24}
0.0,cco,{'ko': 24}
0.0,réa,{'rea': 24}
0.0,sci,{'si': 24}
0.0,$ent,{'$ant': 24}
0.0,ttes,{'t': 24}
0.0,-i,{'i': 23}
0.0,Sé,{'Se': 23}
0.0,oca,{'oka': 23}
0.0,oss,{'os': 23}
0.0,rci,{'rsi': 23}
0.0,icie,{'isie': 23}
0.0,hin,{'in': 22}
0.0,éso,{'ezo': 22}
0.0,ces$,{'s$': 22}
0.0,cteu,{'kte': 22}
0.0,ectio,{'eksio': 22}
0.0,liser,{'lize': 22}
0.0,tur,{'tir': 21}
0.0,hab,{'ab': 20}
0.0,osi,{'ozi': 20}
0.0,conf,{'konf': 20}
0.0,pens,{'pans': 20}
0.0,ssement,{'sman': 20}
0.0,Né,{'Ne': 19}
0.0,Dét,{'Det': 19}
0.0,sui,{'swi': 19}
0.0,ième,{'iem': 19}
0.0,ond$,{'on$': 19}
0.0,seig,{'seg': 19}
0.0,tier,{'tie': 19}
0.0,voir,{'vwar': 19}
0.0,rable,{'rab': 19}
0.0,ressi,{'resi': 19}
0.0,heu,{'e': 18}
0.0,tés,{'te': 18}
0.0,écu,{'eki': 18}
0.0,iner,{'ine': 18}
0.0,mpli,{'npli': 18}
0.0,rie$,{'ri$': 18}
0.0,ifier,{'ifie': 18}
0.0,toire,{'twar': 18}
0.0,z-vou,{'vou': 18}
0.0,cy,{'si': 17}
0.0,duc,{'dik': 17}
0.0,l'é,{'le': 17}
0.0,pul,{'pil': 17}
0.0,spé,{'spe': 17}
0.0,tho,{'to': 17}
0.0,éal,{'eal': 17}
0.0,éné,{'ene': 17}
0.0,ilis,{'iliz': 17}
0.0,nqui,{'nki': 17}
0.0,rge$,{'rz$': 17}
0.0,tude,{'tid': 17}
0.0,aleme,{'alma': 17}
0.0,cteur,{'kter': 17}
0.0,gique,{'zik': 17}
0.0,alement,{'alman': 17}
0.0,tè,{'te': 16}
0.0,éi,{'ei': 16}
0.0,-il,{'il': 16}
0.0,cé$,{'se$': 16}
0.0,dém,{'dem': 16}
0.0,icu,{'iki': 16}
0.0,rém,{'rem': 16}
0.0,upp,{'ip': 16}
0.0,hie$,{'i$': 16}
0.0,visi,{'vizi': 16}
0.0,lisat,{'lizas': 16}
0.0,logie,{'lozi': 16}
0.0,nger$,{'nze$': 16}
0.0,ficati,{'fikasi': 16}
0.0,lisati,{'lizasi': 16}
0.0,Fé,{'Fe': 15}
0.0,oû,{'ou': 15}
0.0,Col,{'Kol': 15}
0.0,mpi,{'npi': 15}
0.0,mér,{'mer': 15}
0.0,nér,{'ner': 15}
0.0,rév,{'rev': 15}
0.0,t-i,{'ti': 15}
0.0,Cour,{'Kour': 15}
0.0,coll,{'kol': 15}
0.0,habi,{'abi': 15}
0.0,tici,{'tisi': 15}
0.0,éali,{'eali': 15}
0.0,Du,{'Di': 14}
0.0,Gé,{'ze': 14}
0.0,Lé,{'Le': 14}
0.0,èn,{'en': 14}
0.0,Sur,{'Sir': 14}
0.0,ctr,{'ktr': 14}
0.0,hev,{'ev': 14}
0.0,ic$,{'ik$': 14}
0.0,ico,{'iko': 14}
0.0,igi,{'izi': 14}
0.0,$cer,{'$ser': 14}
0.0,cult,{'kilt': 14}
0.0,raph,{'raf': 14}
0.0,rre$,{'r$': 14}
0.0,truc,{'trik': 14}
0.0,itude,{'itid': 14}
0.0,mique,{'mik': 14}
0.0,ommen,{'oman': 14}
0.0,rter$,{'rte$': 14}
0.0,uctio,{'iksio': 14}
0.0,Té,{'te': 13}
0.0,Cal,{'Kal': 13}
0.0,ac$,{'ak$': 13}
0.0,ffr,{'fr': 13}
0.0,ibu,{'ibi': 13}
0.0,jus,{'zis': 13}
0.0,nca,{'nka': 13}
0.0,sca,{'ska': 13}
0.0,tée,{'te': 13}
0.0,Supe,{'Sipe': 13}
0.0,heur,{'er': 13}
0.0,lie$,{'li$': 13}
0.0,ogue,{'og': 13}
0.0,rieu,{'rye': 13}
0.0,rine,{'rinn': 13}
